sv,GPS time,t_k,delT_sv,Psuedo-range,CN0,Sat.X,Sat.Y,Sat.Z
G02,2024-04-13 16:51:55.417345+00:00,3115.34082794399,-0.0004539832691049122,22802506.344564095,47.5,14581413.66401039,-5189219.353341901,22047321.948700216
G03,2024-04-13 16:51:55.417345+00:00,3115.3371232140344,0.0003086404076434572,24141785.27077406,45.5,23181419.6569339,-12113966.930302752,4071569.817928489
G08,2024-04-13 16:51:55.417345+00:00,3115.346838058089,0.00011965546704680664,21172692.03270963,50.3,24923508.04475841,4707097.48387666,8473334.23242669
G10,2024-04-13 16:51:55.417345+00:00,3131.3413059030427,-8.485303507044014e-06,22792774.755484518,38.3,-1370344.9688593587,17173312.639101215,20327568.658394746
G21,2024-04-13 16:51:55.417345+00:00,3115.3449554910185,0.0001273561976139704,21739380.063047193,46.4,15707671.08102598,1586362.6240388607,21906088.744753655
G27,2024-04-13 16:51:55.417345+00:00,3115.3434492980596,-1.840442960980334e-05,22147227.415707197,45.3,23143805.162453923,13294799.440513212,-2652469.081292551
G28,2024-04-13 16:51:55.417345+00:00,3115.3377168379957,-0.00020190754775283054,23810762.857806507,39.8,5195964.7429001145,25768618.718896512,-3826077.1695322352
G32,2024-04-13 16:51:55.417345+00:00,3115.345794731984,-0.0006180522229192472,21264314.12856006,44.0,8054802.9601168325,17948525.32710052,18147724.75069895
