,Latitude,Longitude,Altitude
0,32.168798733913285,34.813661167085144,38.13702098838985
1,32.16880871392559,34.81363680491583,46.07319577410817
2,32.16878423357208,34.813673616545515,36.12870711926371
3,32.16880189009193,34.81365696589446,36.79475735593587
4,32.16882878282277,34.81364757114004,42.10466634389013
5,32.16882545557259,34.8136935816583,30.228635436855257
6,32.1755685905915,34.82039880900152,-898.8470317013562
7,32.17555808619554,34.82042781761693,-892.4887223606929
8,32.17554512572486,34.820429579749444,-883.7070389231667
9,32.17555260495677,34.82044827900683,-894.0410336023197
10,32.1688023660437,34.8135957353897,53.550571639090776
11,32.168758999609864,34.813604234478746,47.85215170495212
12,32.1688518843475,34.813627662383766,45.345525374636054
13,32.16881797285057,34.813624962595135,52.271845429204404
14,32.16876031858195,34.813625971585765,56.29643546976149
15,32.175543208943125,34.820416386311734,-878.9386798823252
16,32.17555049138419,34.820442466518685,-886.5018696365878
17,32.17551772433519,34.820480000023096,-887.3058562325314
18,32.16878228136,34.813638551190586,52.36970274802297
19,32.16883443143497,34.81365247675338,53.535958847031
